Date(UTC);Market;Type;Price;Amount;Total;Fee;Fee Coin
2024-02-15 00:40:44;GRTUSDT;BUY;0.1828;820;149.896;0.82;GRT
2024-02-14 22:27:41;HBARUSDT;BUY;0.082;2072;169.904;2.072;HBAR
2024-02-14 22:27:15;HBARUSDT;BUY;0.082;593;48.626;0.593;HBAR
2024-02-14 22:26:58;HBARUSDT;BUY;0.082;1141;93.562;1.141;HBAR
2024-02-14 22:26:53;HBARUSDT;BUY;0.082;403;33.046;0.403;HBAR
2024-02-14 22:26:45;HBARUSDT;BUY;0.082;540;44.28;0.54;HBAR
2024-02-14 22:26:42;HBARUSDT;BUY;0.082;1348;110.536;1.348;HBAR
2024-02-14 22:23:29;VANRYUSDT;BUY;0.06266;2080;130.3328;2.08;VANRY
2024-02-14 22:22:47;VANRYUSDT;BUY;0.06266;1799;112.72534;1.799;VANRY
2024-02-14 22:22:47;VANRYUSDT;BUY;0.06266;110;6.8926;0.11;VANRY
2024-02-14 22:21:26;GLMRUSDT;BUY;0.4179;204.2;85.33518;0.2042;GLMR
2024-02-14 22:21:26;GLMRUSDT;BUY;0.4179;393.8;164.56902;0.3938;GLMR
2024-02-14 22:19:27;ARUSDT;BUY;9.819;5.36;52.62984;0.00536;AR
2024-02-14 22:19:27;ARUSDT;BUY;9.819;20.09;197.26371;0.02009;AR
2024-02-14 22:18:18;FILUSDT;BUY;5.587;26.84;149.95508;0.02684;FIL
2024-02-14 22:15:59;MATICUSDT;BUY;0.8889;562.3;499.82847;0.5623;MATIC
2024-02-14 22:13:26;ALGOUSDT;BUY;0.1833;1363;249.8379;1.363;ALGO
2024-02-14 21:58:51;NEARUSDT;BUY;3.334;71;236.714;0.071;NEAR
2024-02-14 21:58:51;NEARUSDT;BUY;3.334;55.4;184.7036;0.0554;NEAR
2024-02-14 21:57:45;DOTUSDT;BUY;7.677;45.24;347.30748;0.04524;DOT
2024-02-14 21:57:43;DOTUSDT;BUY;7.677;19.88;152.61876;0.01988;DOT
2024-02-08 16:29:55;ALGOUSDT;BUY;0.1689;592;99.9888;0.592;ALGO
2024-02-08 16:19:04;VETUSDT;BUY;0.02905;4949.7;143.788785;4.9497;VET
2024-02-08 16:19:04;VETUSDT;BUY;0.02905;213.8;6.21089;0.2138;VET
2024-02-07 17:57:18;PYRUSDT;BUY;5.514;11.549;63.681186;0.011549;PYR
2024-02-07 17:56:58;PYRUSDT;BUY;5.514;5.019;27.674766;0.005019;PYR
2024-02-07 17:56:38;PYRUSDT;BUY;5.514;2.291;12.632574;0.002291;PYR
2024-02-07 17:38:27;SEIUSDT;BUY;0.6085;144.6;87.9891;0.1446;SEI
