Date(UTC);Market;Type;Price;Amount;Total;Fee;Fee Coin
2024-01-23 09:29:19;DOTUSDT;BUY;6;33.33;199.98;0.03333;DOT
2024-01-23 09:27:01;NEARUSDT;BUY;2.513;39.7;99.7661;0.0397;NEAR
2024-01-12 21:44:57;LINKUSDT;BUY;14;3.57;49.98;0.00357;LINK
2024-01-11 13:05:34;LINKUSDT;BUY;15.49;3.22;49.8778;0.00322;LINK
2024-01-10 08:43:57;DOTUSDT;BUY;7.002;14.28;99.98856;0.01428;DOT
2024-01-10 08:28:13;ADAUSDT;BUY;0.5033;298;149.9834;0.298;ADA
2024-01-08 08:40:36;KSMUSDT;BUY;38.06;3.941;149.99446;0.003941;KSM
2024-01-08 08:31:37;AVAXUSDT;BUY;33.2;4.51;149.732;0.00451;AVAX
2024-01-08 08:28:06;ICPUSDT;BUY;11.242;7.66;86.11372;0.00766;ICP
2024-01-08 08:26:20;NEARUSDT;BUY;3.244;46.2;149.8728;0.0462;NEAR
2024-01-08 08:26:20;MATICUSDT;BUY;0.7809;128;99.9552;0.128;MATIC
2024-01-08 08:22:40;ASTRUSDT;BUY;0.1251;1196.1;149.63211;1.1961;ASTR
2024-01-08 08:18:29;GLMRUSDT;BUY;0.3742;267.2;99.98624;0.2672;GLMR
2024-01-08 08:16:54;APTUSDT;BUY;8.27;12.09;99.9843;0.01209;APT
2024-01-08 08:13:45;SNXUSDT;BUY;3.349;29.8;99.8002;0.0298;SNX
2024-01-08 08:12:38;HBARUSDT;BUY;0.0752;1329;99.9408;1.329;HBAR
2024-01-08 08:07:49;EGLDUSDT;BUY;50.72;2.95;149.624;0.00295;EGLD
2024-01-08 08:03:44;DOTUSDT;BUY;6.958;14.91;103.74378;0.01491;DOT
2024-01-08 08:03:39;DOTUSDT;BUY;6.958;21.01;146.18758;0.02101;DOT
2024-01-08 03:27:09;ADAUSDT;BUY;0.4644;322.9;149.95476;0.3229;ADA
2024-01-08 01:43:44;ALGOUSDT;BUY;0.1725;579;99.8775;0.579;ALGO
2024-01-08 00:55:34;ATOMUSDT;BUY;9.3;16.12;149.916;0.01612;ATOM
2024-01-03 12:09:34;BTCUSDT;BUY;41123;0.00956;393.13588;0.00000956;BTC
2024-01-03 12:09:34;BTCUSDT;BUY;41123;0.0011;45.2353;0.0000011;BTC
2024-01-01 15:17:35;BTCUSDT;BUY;42650;0.03518;1500.427;0.00003518;BTC
2024-01-01 15:17:35;BTCUSDT;BUY;64120.48;0.1;6412.05;0.00003518;BTC
2024-01-01 15:17:35;BTCUSDT;BUY;61034;0.0093;567.62;0.00003518;BTC
2024-01-01 15:17:35;BTCUSDT;BUY;29278.31;0.421;12326.17;0.00003518;BTC
